Id	gender	Math	English	Physics
301610	male	80	64	78
301611	female	65	87	58
301612	female	44	71	77
301613	female	66	71	91
301614	female	70	71	100
301615	male	72	77	72
301616	female	73	81	75
301617	female	61	81	73
301618	male	80	77	78
301619	male	91	67	82
301620	male	92	79	62
301621	male	82	77	75
301622	male	82	78	75
301623	male	82	77	82
301624	female	71	84	73
301625	female	75	85	77
301626	female	81	86	75
301627	female	94	83	77
301628	female	93	81	78
301629	male	82	78	75
301630	male	85	78	95
301631	male	87	78	79
301632	female	84	81	91
301633	female	75	82	78
301634	female	76	87	73
301635	female	75	81	73
301636	male	82	77	82
